,post_id,time,username,likes,comments,shares,text
0,5360265644057845,2022-06-07 17:36:57,Nintendo,135,17,5,"GARREGMACH.CAMPAIGNS.FIRE-EMBLEM-HEROES.COM
『ファイアーエムブレム ヒーローズ』アスク王国 国民投票 ガルグ＝マク杯"
1,5360260867391656,2022-06-07 17:35:11,Nintendo,99,1,5,"Destiny's twisted path approaches its end.

The curtain is raised on the second half of Book VI! #FEHeroes #FireEmblem"
2,5345311318886611,2022-06-02 12:33:01,Nintendo,2110,480,1193,"You’ve never experienced Mario Kart like this! Ride through iconic courses, throw shells, and collect coins to beat Team Bowser when #SuperNintendoWorld opens at Universal Studios Hollywood in early 2023. https://www.universalstudioshollywood.com/supernintendoworld"
3,5345306025553807,2022-06-02 12:30:33,Nintendo,8689,1168,2427,"Get ready, #SuperNintendoWorld is coming to Universal Studios Hollywood in early 2023."
4,5284284578322619,2022-05-13 12:07:39,Nintendo,273,92,0,Time for a double-billed medley featuring songs from Kirby’s Dream Land 3 from Super NES and Kirby 64: The Crystal Shards for Nintendo 64! Have you played either of these classic Kirby titles before?
5,5275361765881567,2022-05-10 09:00:01,Nintendo,760,103,126,"Tune in May 11 at 7:00 a.m. PT for a new Indie World Showcase featuring roughly 20 minutes of information on upcoming indie games headed to Nintendo Switch!

Watch it live here tomorrow: http://ninten.do/6189byebz"
6,5252928774791533,2022-05-02 14:00:02,Nintendo,402,52,32,"New My Nintendo reward! Feast your eyes on this Animal Crossing: New Horizons Coaster Set. Inspired by Brewster’s in-game café, the Roost, this snazzy set will help turn your coffee nook into a cozy café.

http://ninten.do/6182bBP0e"
7,5242346875849723,2022-04-28 17:00:03,Nintendo,493,36,24,"Float into warmer weather with Kirby and a prize bundle that's perfect for a picnic. Enter the My Nintendo Spring Break With Kirby Sweepstakes for a chance to win this tote and other Kirby-themed items!

Sweepstakes end on 5/2, enter now: http://ninten.do/6188bBKH4"
8,5241767542574323,2022-04-28 12:07:01,Nintendo,289,34,0,Legend has it that one bite of the heart fruit fills your heart with courage 🍎 💖. Can Kirby find it?
9,5239105656173845,2022-04-27 13:00:02,Nintendo,1353,178,374,The adorable pink hero Kirby made his debut in Kirby's Dream Land on Game Boy in Japan 30 years ago today! What is your favorite Kirby memory?
