,Time,User,Tweet
0,2022-06-10 21:30:09+00:00,LogitechG,We're going old school with our newest #CreatorSpotlight. Join @pleasantlytwstd for some Paper Mario: The Thousand-… https://t.co/YXb6R0TDod
1,2022-06-10 20:00:05+00:00,HyperX,"you can only choose one 😏

🌹 rose gold cloud mix
💎 swarovski cloud mix
🥇 gold cloud alpha
💜 purple cloud alpha https://t.co/UnyzL5orV2"
2,2022-06-10 18:30:00+00:00,Cloud9,"Happy birthday to one of the many big brains behind C9 White, @MoonChopper! Here's to another year of success 🥳 https://t.co/KprBgc3Mrb"
3,2022-06-10 18:18:53+00:00,Pabu22,quarkbällchen
4,2022-06-10 18:00:26+00:00,LogitechG,"🎨 Practice makes perfect!

Meet freelance artist @finchfish, the creator of our Pride Banner! 

Learn more about Fi… https://t.co/iD5TvIccU2"
5,2022-06-10 17:54:01+00:00,Cloud9,RT @n0thing: I vLogged a CSGO event! Go check out the behind the scenes look of @Cloud9 at #iemdallas 2022! It was fun to be back at an IEM…
6,2022-06-10 17:12:19+00:00,stacyfrancis,Wow!!!! Talk about a real throwback ❤️ https://t.co/GLqSeTlsoK
7,2022-06-10 17:05:16+00:00,Cloud9,"RT @C9CSGO: Time to see Dallas through @n0thing's eyes 👀 we gave our old friend backstage access to our #IEM run, in the first of many cont…"
8,2022-06-10 16:49:54+00:00,Pabu22,feels so fuking unproductive sometimes to queue up
9,2022-06-10 16:49:24+00:00,Pabu22,"miss when euw queue times were 3min not 20min, feels so bad to put time in and just get perma owned by autofill + dodges"
10,2022-06-10 16:10:06+00:00,Pabu22,ashe chilling with 46second ult cooldown at level 6 in my game ?XDDD
11,2022-06-10 16:05:22+00:00,LogitechG,"@DataDaveTV Looking for ways to support @DataDaveTV? 
🗺 Explore his website:
https://t.co/4zvl7PzYO1

👕 Check out h… https://t.co/rfBKVCtEgg"
12,2022-06-10 16:04:40+00:00,StarcraftWinter,"I talk with @Frost_Giant Lead Designer @Solid_monk about @PlayStormgate in Unreal Engine 5, learning from StarCraft… https://t.co/SloVJisG2O"
13,2022-06-10 16:01:02+00:00,LogitechG,"He holds his own in fighting games, and makes people pay in party games, and always does it with a smile.

Creators… https://t.co/rpMmQw9Bfy"
14,2022-06-10 15:58:57+00:00,LogitechG,"Make sure you show your support for @GCXEvent! 
👇 👇 👇 👇 https://t.co/0dwDviyay1"
15,2022-06-10 15:31:25+00:00,Pabu22,when i ask for prios and all 3 lanes say enemy gets push https://t.co/yhV2tKn2xJ
16,2022-06-10 15:10:25+00:00,FayeMata,incredible https://t.co/kfSBJOjrLM
17,2022-06-10 14:49:23+00:00,Pabu22,im not even sure if serpents cuts maw but i have to assume it does
18,2022-06-10 14:48:16+00:00,Pabu22,cutting the Maw shields I guess? thoughts on the Serpent? https://t.co/RWyFcls0ws
19,2022-06-10 13:03:17+00:00,Pabu22,i queue jg&gt;mid and have been autofilled twice to toplane for my games today and thus have dodged twice 😃
